Biome,Biome_Full,MAT degC weighted,Biome area MHa,MODIS Mean Forest Cover Proportion,Cnsus Mean Forest Cover Proportion,Cnsus+Shrubs Mean Forest Cover Proportion,MODIS wood surf. area Mha,Cnsus wood surf. area Mha,Cnsus+Shrubs wood surface area Mha,LAI_1sided,LAI_2sided,n_observations,sd_lai,MODIS_leaf_surf_1sided_Mha,Cnsus_leaf_surf_1sided_Mha,Cnsus+Shrubs_leaf_surf_1sided_Mha,MODIS_leaf_surf_2sided_Mha,Cnsus_leaf_surf_2sided_Mha,Cnsus+Shrubs_leaf_surf_2sided_Mha,MODIS_woody_leaf_ratio_1sided,Cnsus_woody_leaf_ratio_1sided,Cnsus+Shrubs_woody_leaf_ratio_1sided,MODIS_woody_leaf_ratio_2sided,Cnsus_woody_leaf_ratio_2sided,Cnsus+Shrubs_woody_leaf_ratio_2sided
Boreal Forests/Taiga,Taiga and Boreal Forest,-2,1532,0.307,0.687,0.836,1440,3230,3930,3.58,7.16,234,2.09,1683.8,3767.9,4585.1,3367.5,7535.8,9170.2,0.86,0.86,0.86,0.43,0.43,0.43
Deserts & Xeric Shrublands,Deserts and Xeric Shrublands,20.2,2632,0.011,0.021,0.189,92,174,1530,2.03,4.06,84,1.45,58.8,112.2,1009.8,117.5,224.4,2019.6,1.56,1.55,1.52,0.78,0.78,0.76
Flooded Grasslands & Savannas,Flooded Grasslands & Savannas,22.1,115,0.173,0.403,0.493,61,143,175,1.36,2.72,2,1.11,27.1,63,77.1,54.1,126.1,154.2,2.25,2.27,2.27,1.13,1.13,1.13
Mangroves,Mangroves,26.7,33,0.334,0.516,0.544,34,53,56,4.17,8.34,31,1.1,46,71,74.9,91.9,142,149.7,0.74,0.75,0.75,0.37,0.37,0.37
"Mediterranean Forests, Woodlands & Scrub","Mediterranean Forests, Woodlands, and Scrub",16.7,330,0.102,0.181,0.399,103,184,404,3.36,6.72,184,1.95,113.1,200.7,442.4,226.2,401.4,884.8,0.91,0.92,0.91,0.46,0.46,0.46
Montane Grasslands & Shrublands,Montane Grasslands & Shrublands,3,487,0.06,0.062,0.187,89,93,280,4.06,8.12,45,2.49,118.6,122.6,369.7,237.3,245.2,739.5,0.75,0.76,0.76,0.38,0.38,0.38
Rock and Ice,Rock and Ice,-0.4,1408,0.001,0.001,0.003,4,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Temperate Broadleaf & Mixed Forests,Temperate Broadleaf and Mixed Forests,10,1256,0.302,0.399,0.424,1170,1540,1640,5.02,10.04,1151,2.19,1904.1,2515.7,2673.4,3808.3,5031.5,5346.7,0.61,0.61,0.61,0.31,0.31,0.31
Temperate Conifer Forests,Temperate Coniferous Forests,4.9,376,0.35,0.616,0.673,405,713,778,6.04,12.08,338,3.43,794.9,1399,1528.4,1589.7,2797.9,3056.8,0.51,0.51,0.51,0.25,0.25,0.25
"Temperate Grasslands, Savannas &Shrublands","Temperate Grasslands, Savannas, and Shrublands",9.5,1057,0.086,0.111,0.218,280,360,710,2.4,4.8,103,0.96,218.2,281.6,553,436.3,563.2,1106,1.28,1.28,1.28,0.64,0.64,0.64
Tropical & Subtropical Coniferous Forests,Tropical & Subtropical Coniferous Forests,18.8,68,0.321,0.595,0.703,68,125,148,3.68,7.36,19,2.85,80.3,148.9,175.9,160.7,297.8,351.8,0.85,0.84,0.84,0.42,0.42,0.42
Trop. & Subtrop. Dry Broadleaf Forests,Tropical and Subtropical Dry Broadleaf Forests,26,388,0.197,0.356,0.434,235,424,518,3.99,7.98,23,1.85,305,551.1,671.9,610,1102.3,1343.8,0.77,0.77,0.77,0.39,0.38,0.39
"Trop. & Subtrop. Grasslands, Savannas &","Tropical and Subtropical Grasslands, Savannas, and Shrublands",25.5,2139,0.138,0.404,0.548,911,266,3600,1.78,3.56,69,1.55,525.4,1538.2,2086.5,1050.8,3076.4,4172.9,1.73,0.17,1.73,0.87,0.09,0.86
Tropical & Subtropical Moist Broadleaf Forests «,Tropical & Subtropical Moist Broadleaf Forests «,24.3,1958,0.502,0.691,0.723,4040,5570,5830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tundra,Tundra,-6.8,853,0.41,0.117,0.401,109,308,1050,0.99,1.98,50,0.71,346.2,98.8,338.6,692.5,197.6,677.3,0.31,3.12,3.1,0.16,1.56,1.55
